============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Dec 08 2022  01:56:21 pm
  Module:                 uart_top
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                        Leakage    Dynamic      Total    
            Instance             Cells Power(nW)  Power(nW)   Power(nW)  
-------------------------------------------------------------------------
uart_top                          1128   111.097 3692748.010 3692859.108 
  ins_uart_transceiver_B           564    55.616 1937195.970 1937251.586 
    ins_rx_wrapper                 305    39.602 1871866.809 1871906.411 
      ins_rx_buffer                199    32.670 1766045.778 1766078.448 
      ins_rx_fsm                    58     3.893  103033.784  103037.678 
      ins_sampli..ick_generator     48     3.039    2787.246    2790.285 
    ins_tx_wrapper                 259    16.014   65329.161   65345.175 
      ins_tx_buffer                146     9.239   13280.303   13289.543 
      ins_tx_fsm                    66     3.882   48872.868   48876.750 
      ins_sampli..ick_generator     47     2.893    3175.990    3178.883 
  ins_uart_transceiver_A           564    55.481 1749931.738 1749987.219 
    ins_rx_wrapper                 305    39.581 1661644.014 1661683.595 
      ins_rx_buffer                199    32.648 1589885.450 1589918.099 
      ins_rx_fsm                    58     3.891   69401.160   69405.051 
      ins_sampli..ick_generator     48     3.042    2357.404    2360.445 
    ins_tx_wrapper                 259    15.901   88287.724   88303.624 
      ins_tx_buffer                146     9.142   15170.701   15179.843 
      ins_tx_fsm                    66     3.883   71104.208   71108.091 
      ins_sampli..ick_generator     47     2.875    2012.814    2015.690 

