============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Dec 22 2022  11:42:34 am
  Module:                 uart_top
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                        Leakage    Dynamic     Total   
            Instance             Cells Power(nW)  Power(nW)  Power(nW) 
-----------------------------------------------------------------------
uart_top                           764    64.296 228821.129 228885.425 
  ins_uart_transceiver_A           382    32.257 113822.819 113855.076 
    ins_rx_wrapper                 191    20.511  78742.343  78762.854 
      ins_rx_buffer                 70    11.850  52149.870  52161.719 
      ins_rx_fsm                    75     5.591  20142.641  20148.231 
      ins_sampli..ick_generator     46     3.071   6449.832   6452.903 
    ins_tx_wrapper                 191    11.746  35080.476  35092.223 
      ins_tx_fsm                    96     5.950  17368.778  17374.727 
      ins_tx_buffer                 53     2.964  11290.714  11293.678 
      ins_sampli..ick_generator     42     2.832   6420.985   6423.817 
  ins_uart_transceiver_B           382    32.039 108087.745 108119.784 
    ins_rx_wrapper                 191    20.613  76108.792  76129.405 
      ins_rx_buffer                 70    11.832  48817.743  48829.575 
      ins_rx_fsm                    75     5.723  21094.202  21099.925 
      ins_sampli..ick_generator     46     3.058   6196.847   6199.905 
    ins_tx_wrapper                 191    11.426  31978.953  31990.379 
      ins_tx_fsm                    96     5.566  16574.269  16579.835 
      ins_tx_buffer                 53     2.977   9365.765   9368.741 
      ins_sampli..ick_generator     42     2.883   6038.919   6041.802 

