============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Dec 22 2022  09:54:21 am
  Module:                 uart_top
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                        Leakage    Dynamic     Total   
            Instance             Cells Power(nW)  Power(nW)  Power(nW) 
-----------------------------------------------------------------------
uart_top                           764    64.671 213991.174 214055.845 
  ins_uart_transceiver_A           382    32.385 107923.045 107955.430 
    ins_rx_wrapper                 191    20.630  75721.111  75741.741 
      ins_rx_buffer                 70    11.869  50732.964  50744.834 
      ins_rx_fsm                    75     5.708  18481.048  18486.756 
      ins_sampli..ick_generator     46     3.053   6507.098   6510.151 
    ins_tx_wrapper                 191    11.755  32201.934  32213.689 
      ins_tx_fsm                    96     5.928  16951.764  16957.692 
      ins_tx_buffer                 53     2.967   9152.127   9155.094 
      ins_sampli..ick_generator     42     2.860   6098.043   6100.903 
  ins_uart_transceiver_B           382    32.285 100905.392 100937.678 
    ins_rx_wrapper                 191    20.582  69193.099  69213.681 
      ins_rx_buffer                 70    11.858  46655.640  46667.498 
      ins_rx_fsm                    75     5.717  16370.100  16375.817 
      ins_sampli..ick_generator     46     3.008   6167.359   6170.366 
    ins_tx_wrapper                 191    11.703  31712.293  31723.996 
      ins_tx_fsm                    96     5.897  16761.845  16767.742 
      ins_tx_buffer                 53     2.976   8905.811   8908.787 
      ins_sampli..ick_generator     42     2.830   6044.637   6047.468 

